,Report Date,label,Max Residual
0,Fri 01 Apr 2022,R1_M20_6468A,0.12847134
1,Fri 01 Apr 2022,R1_M20_6477A,0.111255676
2,Fri 01 Apr 2022,R1_M25_4094A,0.10558754
3,Fri 01 Apr 2022,R2_A2_8362A,0.27428824
4,Fri 01 Apr 2022,R2_A2_8380A,0.29754514
5,Fri 01 Apr 2022,R2_M2_8431J,0.11580185
6,Fri 01 Apr 2022,R3_5889_1,0.09757865
7,Fri 01 Apr 2022,R3_M20_6576A,0.12473786
8,Fri 01 Apr 2022,R4_M2_8545A,0.12722388
9,Fri 01 Apr 2022,R4_M2_8565A,0.11516014
10,Fri 01 Jul 2022,R1_M20_6468A,0.29462433
11,Fri 01 Jul 2022,R1_M20_6477A,0.2739632
12,Fri 01 Jul 2022,R1_M25_4094A,0.10608536
13,Fri 01 Jul 2022,R2_A2_8362A,0.1753698
14,Fri 01 Jul 2022,R2_A2_8380A,0.17207241
15,Fri 01 Jul 2022,R2_M2_8431J,0.10315046
16,Fri 01 Jul 2022,R3_5889_1,0.032275915
17,Fri 01 Jul 2022,R3_M20_6576A,0.105490685
18,Fri 01 Jul 2022,R4_M2_8545A,0.07712129
19,Fri 01 Jul 2022,R4_M2_8565A,0.08287981
20,Fri 02 Dec 2022,R1_M20_6468A,0.22553593
21,Fri 02 Dec 2022,R1_M20_6477A,0.25582498
22,Fri 02 Dec 2022,R1_M25_4094A,0.0947541
23,Fri 02 Dec 2022,R2_M2_8431J,0.044039562
24,Fri 02 Dec 2022,R3_5889_1,0.035447195
25,Fri 02 Dec 2022,R3_M20_6576A,0.122534245
26,Fri 02 Dec 2022,R4_M2_8545A,0.08603248
27,Fri 02 Dec 2022,R4_M2_8565A,0.10111955
28,Fri 02 Sep 2022,R1_M20_6468A,0.13731405
29,Fri 02 Sep 2022,R1_M20_6477A,0.160478
30,Fri 02 Sep 2022,R1_M25_4094A,0.21400356
31,Fri 02 Sep 2022,R2_A2_8362A,0.11743295
32,Fri 02 Sep 2022,R2_A2_8380A,0.13095462
33,Fri 02 Sep 2022,R2_M2_8431J,0.03352365
34,Fri 02 Sep 2022,R3_5889_1,0.035797015
35,Fri 02 Sep 2022,R3_M20_6576A,0.11261457
36,Fri 02 Sep 2022,R4_M2_8545A,0.051977217
37,Fri 02 Sep 2022,R4_M2_8565A,0.061747804
38,Fri 03 Jun 2022,R1_M20_6468A,0.10187194
39,Fri 03 Jun 2022,R1_M20_6477A,0.07930851
40,Fri 03 Jun 2022,R1_M25_4094A,0.24984373
41,Fri 03 Jun 2022,R2_A2_8362A,0.14965254
42,Fri 03 Jun 2022,R2_A2_8380A,0.11548391
